"res_time","equiv","conc","temp","sty","e_factor"
0.5375,4.3,0.33,68.25,7467.19528000813,1.64542778168903
0.6125,2.3,0.43,95.25,8685.26943559096,0.750509402439349
0.6875,1.9,0.27,54.75,2900.72476463751,1.61894563468296
0.7625,3.7,0.15,36.75,1116.46964434095,4.10710616488191
0.8375,2.9,0.19,108.75,2775.78898618308,1.0164186680801
0.9125,3.5,0.47,77.25,6218.14500513735,1.272261252053
0.9875,1.3,0.13,86.25,1049.70666925215,0.997703680651418
1.0625,4.7,0.37,104.25,3545.66443334038,2.33653298779793
1.1375,1.1,0.35,45.75,1945.51999208715,1.41492565590789
1.2125,3.1,0.11,63.75,895.207602234206,1.64429602637802
1.2875,2.1,0.31,117.75,2817.11018339015,0.76704587301489
1.3625,4.1,0.45,41.25,4100.70992666253,1.49870752770166
1.4375,4.9,0.17,81.75,1404.14808514593,1.85036111969658
1.5125,2.7,0.25,32.25,1385.07957554171,1.80661787109085
1.5875,1.5,0.39,72.75,2979.13545086782,0.472891535043454
1.6625,3.9,0.29,90.75,1947.08117575955,1.64800118127565
1.7375,2.5,0.49,59.25,3460.51569456873,0.801560733210221
1.8125,4.5,0.21,50.25,1439.35802185943,1.68077013414402
1.8875,3.3,0.41,113.25,1948.87730676875,2.04908804530687
1.9625,1.7,0.23,99.75,1457.37829281904,0.501374764315816
