"res_time","equiv","conc","temp","sty","e_factor"
0.5375,2.3,0.21,72.75,3445.21562993217,1.40900018677022
0.6125,1.5,0.33,41.25,2542.76601486533,2.63348188581496
0.6875,4.5,0.41,90.75,6979.9477795474,1.80254938220619
0.7625,3.1,0.15,99.75,2408.42065550658,1.11397659858305
0.8375,4.9,0.25,50.25,3436.49281096916,2.07108697045028
0.9125,2.9,0.49,63.75,6582.37141615938,0.982439263345767
0.9875,1.9,0.27,117.75,3331.83477061126,0.598995570658438
1.0625,4.1,0.11,77.25,1222.50433563875,1.62503543074605
1.1375,3.7,0.37,104.25,3541.60819413037,1.69712250378784
1.2125,1.3,0.17,59.25,921.789775384331,1.47244599078171
1.2875,3.3,0.29,32.25,2096.022615829,1.86156617372702
1.3625,1.7,0.43,81.75,3929.99639295214,0.49841747986532
1.4375,4.7,0.19,108.75,1437.31574409737,2.2195539373153
1.5125,3.9,0.47,45.75,3898.01171822944,1.39486375432505
1.5875,1.1,0.31,95.25,2236.51655007893,0.35347586663247
1.6625,2.5,0.13,36.75,501.153115388759,2.45304226730521
1.7375,4.3,0.35,68.25,2407.66887834509,1.68671835248344
1.8125,2.7,0.45,113.25,2389.23047414438,1.44105691544079
1.8875,3.5,0.23,86.25,1452.38582695948,1.36082614989676
1.9625,2.1,0.39,54.75,2417.24318664744,0.684462867293936
