res_time,equiv,conc,temp
1.1975511,2.120688,0.293267,110.19655
0.5076592,2.299019,0.3789623,60.48179
1.0126684,1.888766,0.1162676,56.62969
1.9963277,2.92247,0.466535,98.62192
0.5964689,3.00143,0.22821,90.93874
1.2901254,4.147094,0.33419,112.03937
1.0550085,1.374902,0.3506775,40.62829
1.732141,3.722303,0.2431137,49.35446
1.1655209,3.203546,0.2796085,94.09342
1.6112251,3.839514,0.3893059,75.10917
1.6348872,2.707744,0.1935641,44.31645
1.8829218,1.150957,0.1234167,118.66248
0.7687359,4.599674,0.4979075,87.75449
0.7197582,4.972393,0.1622403,35.23965
1.4268161,3.503303,0.458798,73.02694
1.3844942,4.300371,0.4030887,32.07481
0.8346706,1.741302,0.1521021,63.15439
1.8361946,1.453691,0.3182892,83.32461
1.5216944,2.415098,0.427005,102.94711
0.8821446,4.661298,0.2004003,68.69062
